ID	Index	Answer	Opt1	Opt2	Opt3	Opt4	Question	HideInHuaDeng	TimeFrame
143	q142	4	奇遇秘境总计6分钟，1分钟准备，5分钟挑战	奇遇秘境时间结束后，不论里面是怪物是否全部杀死，所有玩家都会被强制传出	只有杀死最后的奇遇秘境守护者才能获得物品奖励	同一个奇遇秘境进入人数没有限制	关于奇遇秘境的说法以下哪个是不正确的？		
144	q143	2	10级以上	20级以上	30级以上	40级以上	江湖历练要多少级能参加？		
145	q144	1	心荷	杨蓉	洛兰柔	叶浩	江湖历练找谁接取任务？		
146	q145	1	10次	5次	次数不限	3次	每人每天可以接多少次江湖历练？		
147	q146	2	可以组队接取	队员不在附近也能接取组队任务	可以单人接取	接到杀怪任务可以直接与NPC对话传送到相应地图	以下哪个关于江湖历练的描述是不对的？		
148	q147	1	20级至49级	10级至49级	30级至60级	随便接	惩恶任务接取的等级范围是哪个？		
149	q148	3	捕头	杨蓉	叶浩	镖局总镖头	惩恶任务找谁接取任务？		
150	q149	2	可以和队友一起共享怪物数	只能杀指定的怪	惩恶任务能和秘境，青云峰等活动一起计数	惩恶任务可以放弃	以下哪个关于惩恶任务的描述是不对的？		
151	q150	2	掌门	大师兄	叶浩		修炼珠不能找谁领取？		
152	q151	2	10级以上	20级以上	30级以上	40级以上	多少级可以开启修炼珠？		
153	q152	2	喊我要修炼	右键使用修炼珠	找叶浩开启	找掌门开启	如何开启修炼		
154	q153	4	开启后可获得4倍打怪经验	普通用户每天自动获得60分钟修炼时间	认证/准认证用户每天额外获得30分钟修炼时间	必须每天用完，不能累计	以下哪个关于修炼珠的描述是不对的？		
155	q154	2	回城石回来的点	野外重伤回城后的点	BOSS重生的地方	车夫送你回来的点	重生点是什么？		
156	q155	1	各大城市及门派的储物箱管理员	从背包打开	找到一个箱子点开	从车夫处打开	储物箱在哪里打开？		
157	q156	4	右键点击背包中的物品可以存入储物箱	点击储物箱页面下的整理按钮，系统会自动帮您整理储物箱内的道具。	储物箱不能存钱	储物箱只有一个分页	以下关于储物箱描述哪一个是不对的		
158	q157	3	储物箱一共有40格	储物箱一共只有40格	初始的储物箱共40格，还有六个分页	储物箱的格子可以用背包扩展	储物箱的格子数哪个描述是对的。		
159	q158	4	杨蓉	捕头	叶浩	总镖头	运镖任务在哪里接取？		
160	q159	4	10级以上	20级以上	40级以上	30级以上	多少级可以接取运镖任务？		
161	q160	4	在各大城市镖师处接取任务,向任务指定地点运送镖车。	每人每天最多完成2次	在运送过程中如果遇到前来劫镖的贼人，需将其打败才能使镖车继续前进。	不同颜色的镖车风险一样。	以下哪项关于运镖的描述不对		
162	q161	4	白色	绿色	蓝色	紫色	哪种镖车的报酬最多？		
163	q162	3	接镖时给	找委托人给	运镖的途中会经过驿站可以得经验奖励，运完三段后回城找镖头领绑银	到达终点得钱	如何领取运镖奖励？		
164	q163	1	在五大城市中心广场找随机出现的解语仙子回答问题	在五大城市找活动大使	找礼官	找叶浩	找谁能参加答题活动？		
165	q164	3	每轮最多可以回答5道题	最多可以回答24题	每天总数可以答30题	每天的总数是60题	每人可以答多少题？		
166	q165	1	25至69级	20至70级	30至59级	20至59级	答题的等级范围是？		
167	q166	3	活动中每答对一道题就能获得一次经验和活力奖励	组队答题，队友每回答对一题，您也可以获得一份奖励。	全部答完还可以去礼官处领取黄金福袋。	不在同一个城市不能获得队友的答题奖励	以后关于答题奖励的描述不对是哪一项？		
168	q167	1	从小地图旁边的交易中心按钮打开	找商会NPC打开	通过摆摊打开	从拍卖行打开	交易中心如何打开？		
169	q168	2	绑银	金币和绑金	传记点	门派贡献度	交易中心可以用什么货币？		
170	q169	2	绑金	金币	绑银	银两	交易中心预购用什么货币？		
171	q170	1	只能卖不绑定的物品	可以卖绑定的物品	不可以买活力	可以买生活技能配方	以下哪个关于交易中心的描述是不对的？		
172	q171	4	如果该物品有预购单，卖出不绑定的物品可以获得金币	如果没有预购，不绑定的物品给交易中心只能获得绑金	交易中心该物品有货，勾上“只使用金币”可以获得不绑的物品	多个玩家一起预购时，先预购的玩家将获得物品	以下哪个关于交易中心预购的描述是不对的？		
173	q172	1	水晶	灵石	宝石	矿石	什么能强化装备？		
174	q173	1	Q	P	F1	F5	按什么键能打开强化界面		
175	q174	2	装备强化后可以转到同一类型的装备上。	强化后装备可以卖交易中心	当全身装备都强化到一定值，会获得额外属性	强化可以增强装备的基础属性	以下哪个关于强化的描述不对？		
176	q175	2	护身符的强化能转移到戒指上	首饰的强化能转移到衣服上	强化转移需要补满水晶才能转移		以下哪个关于强化的描述不对？		
177	q176	1	每天10:00、14:30、22:00	每天12:00、19:30	每周二周四的14:30、22:00	随时可以参加	门派守卫活动何进行？		
178	q177	2	掌门	叶浩	大师兄	心荷	门派守卫活动找谁进入？		
179	q178	3	20级以上	30级以上	40级以上	10级以上	多少等级以上的玩家可以参加门派守卫活动？		
180	q179	4	要参加与自己门派一样的门派守卫	要保护掌门不被杀	开始后不能再进入了	可以参加与自己门派不一样的守卫	以下哪个关于门派守卫的描述是正确的		
181	q180	2	一天两次	每天一次	一天一次，可累计一周	一天三次	门派守卫参加次数描述哪个是正确的		
182	q181	4	随机出现在五大城市其中一个城	随机出现在野外地图	在城市的广场中间	随机出现在五大城市内豪宅、王府等繁华区	行脚商人出现在哪里？		
183	q182	1	每天13:50分至23:50分，固定每单数小时的50分	每天整点	每天中午12点和晚上8点	每天不固定时间	行脚商人出现时间？		
184	q183	1	可以用绑定金币抢购市场上比较稀缺的物品。	可以用银两买好东西	可以买活力药水	可以买装备	行脚商人有什么好处		
185	q184	4	一轮可以买十个	一天最多只能十个	可以在一个城市的行脚一下买十个	随便买，只要有金币	以下哪个关于行脚商人购买次数不正确的？		
186	q185	2	行脚商人可以用绑金买	行脚商人物品的售价与拍卖行一样	行脚商的物品售价与交易中心的基础价格一样	每次行脚商人只会停留一个小时	以下哪个关于行脚商人的描述不对？		OpenLevel69
187	q186	2	杨蓉	捕头	叶浩	镖头	通缉任务找谁接取？		tongji
188	q187	4	10级以上	20级以上	30至59级	60级以上	多少级可以接取通缉任务？		tongji
189	q188	4	每天9:50~次日1:50之间，每隔一小时	每天12:00、19:30	每天整点	每天任意时间	通缉任务何时能接取？		tongji
190	q189	2	单人接取	3个人以上组队	两人组队接取		通缉任务接取条件是？		tongji
191	q190	4	贡献度	经验	福袋	传记点	完成通缉任务不能获得以下哪种奖励？		tongji
192	q191	4	白色	绿色	蓝色	紫色	通缉最高难度的是何种颜色？		tongji
193	q192	3	秘境里	30级以上地图	40级以上地图	所有野外地图	首领怪出现在哪里？		LittleBB50
194	q193	4	绿色	蓝色	紫色	粉色	首领怪的称号是什么颜色的？		LittleBB50
195	q194	1	每天上午9：30至次日1：30，每半小时	每半小时一次	每天整点	任何时间	青云峰何时可以接取？		LittleBB50
196	q195	4	每周七次	每天一次可累计5次	每天两次不能累计	每天两次可累计10次	关于青云峰的报名哪个描述是正确的？		LittleBB50
197	q196	2	提前10分钟可以报名	可以2个人组队报名	可以组队报名也能单人报名	正式开启后就不能再报名进去了。	关于青云峰的参加次数哪个描述是不对的？		LittleBB50
198	q197	2	每周日8：00	每天任何时候	每天中午12：00和晚上8：00	每天15：00，22：00	武林高手地图何时打开传送？		OpenBoss55
199	q198	2	所有50级以上地图	找野外武林高手传送人才能去	找秘境管理员传送	门派地图	武林高手出现在哪里？		OpenBoss55
200	q199	4	灵石碎片	水晶	稀有武器	稀有衣服	以下哪个不是武林高手掉落的？		OpenBoss55
201	q200	4	20级至49级	30级以上	40级以上	50级以上	多少级以上可以去参加击杀武林高手？		OpenBoss55
202	q201	1	掌门	杨蓉	捕头	叶浩	门派竞技找谁报名？		OpenBoss55
203	q202	4	每周日18：00	每天12:00、19:30	每周周二和周四21：00	每周周二和周六20：30—21：00	门派竞技报名时间是哪项？		OpenBoss55
204	q203	1	3名等级≥50级的玩家组队到家族管理员处创建	3名50级玩家到人际关系管理员处创建	1名60级以上玩家使用令牌创建		如何创建家族？		
205	q204	1	由族长、副族长、堂主等有权限的家族成员，邀请其他侠客加入	和家族管理员对话	和人际关系管理员对话		如何加入家族？		
206	q205	4	领取20个神行石	领取1个长效食物	领取2个祝福之羽	领取2个回城石	哪个不是使用武林英雄贴的好处？		
207	q206	1	一张贴只能认证三天	一张贴能认证七天	可以连续使用多个，时间累计		哪个不是使用武林英雄贴的时间哪个说法是不对的		
208	q207	4	首饰	防具	武器	披风	参加名器之争可以获得什么装备？		ShenMiRen
209	q208	1	20-39	40-59	60-79	80-99	名器之争活动在哪个等级段的地图进行？		ShenMiRen
211	q210	2	5	10	15	20	每天可以完成几次江湖历练任务？		
212	q211	1	装备	绑金	传记点	师门贡献度	以下哪种不是江湖历练任务的奖励？		
213	q212	1	打怪	绘图	对话		哪种类型的江湖历练任务可以直接找心荷传送？		
214	q213	1	打怪	绘图	对话		哪种类型的江湖历练任务可以直接找心荷传送？		
215	q214	1	菩提果	无暇的菩提果	人参果		灵果争夺中采集哪种类型的果子不需要使用金丝手套？		lingguo
216	q215	4	大盗方位	大盗名	大盗所在地图	捕头心上人	下列哪项不是通缉任务中捕头提供的线索？		tongji
217	q216	2	秘境管理员	捕头	活动大使		在城市哪个NPC处可以接取通缉任务？		tongji
218	q217	3	活动期间每日开第10个福袋	活动期间认证和准认证用户每日可以领取1张	中奖		以下哪种不是黄金抽奖券的获得途径？		
219	q218	2	3	4	5	无限制	黄金奖券活动期间每天可以使用几张？		
220	q219	2	抽奖活动从每次等级上限开放前2天开始，持续到等级上限开放当天	开奖时间是晚上23点	活动期间22点之后使用的黄金奖券会计入到下次抽奖名单中		以下关于幸运抽奖活动说法不正确的是？		
221	q220	2	可以	不可以			在练功模式下是否可以对屠杀模式的玩家进行攻击？		
222	q221	1	60	40	50		多少级可获得家园？		OpenLevel69
223	q222	1	家园管理员	家族管理员	帮会管理员		找谁能进到家园？		OpenLevel69
224	q223	1	托管经验加成	增加活力	增加体力		使用灵气丹可以得到什么？		OpenLevel69
225	q224	1	拍卖行	交易中心	家园管理员		在哪里能买到豪宅和王府		OpenLevel69
226	q225	1	60	40	50		多少级能进行同伴派遣？		OpenLevel69
227	q226	1	完成家园同伴指引任务	参加青云峰获得	参加秘境获得	把好友打晕带回家	如何获得第一个同伴？		OpenLevel69
228	q227	1	进入家园后在主界面右侧点“同伴派遣按钮”	带同伴到相应活动报名点报名			如何派遣同伴？		OpenLevel69
229	q228	1	门派竞技	秘境	青云峰	运镖	同伴不能参加以下哪种活动？		OpenLevel69
230	q229	1	体力	活力	经验		同伴派遣会消耗什么？		OpenLevel69
231	q230	2	60	70	50	80	功力多少级生效？		OpenLevel79
232	q231	1	打怪经验有加成	对打怪效率有提高	对角色攻击及防御有加成		以下哪个不是功力强的好处？		OpenLevel79
233	q232	1	在线时间长	装备强化	装备镶嵌	坐骑	以下哪些不能转化为功力？		OpenLevel79
234	q233	1	F1面板-->功力	F2	成就界面		从哪里查看自己的功力？		OpenLevel79
235	q234	1	59	79	89	99	多少级开始可以重新分配潜能点？		
236	q235	1	没有门派的也能洗点	洗点要通过掌门进入洗髓岛	入岛后可以无限次洗		关于潜能点分配以下哪个说法不正确？		
237	q236	1	随时进洗髓岛洗	达到59级获得一次免费的	从59级起每升10级都会获得一次免费机会	购买洗髓令牌进去	获得洗点机会以下哪项不正确？		
238	q237	1	F1角色界面旁边的详细属性界面	角色头像下面	成就界面		潜能点哪里查看？		
239	q238	1	元气是加体力上限的	体质是加生命上限的	力量是加外攻攻击力的	身法是加闪避和命中的	以下哪个说法是不正确的		
240	q239	1	60	40	50	30	结拜的等级必须多少级以上？		OpenLevel69
241	q240	1	6个	2个	5个	3个	结拜团体的最多可以多少成员		OpenLevel69
242	q241	1	结拜过的不能增加新成员	只要不满6个随时能接纳新成员	不同阵营的也能结拜		以下哪个说法是不正确的		OpenLevel69
243	q242	1	获得称号	金钱平分	经验加成		结拜有什么好处		OpenLevel69
244	q243	1	完成每日目标	杀怪获得	珍宝阁		藏宝图如何获得？		
245	q244	1	每天2次，不能累积	每天2次可累积10次	每天可以有10次机会协助队友挖宝，最多50次		挖宝的次数以下哪个是不正确的？		
246	q245	1	奇遇秘境	水晶密窟	藏宝地宫	神秘宝箱	以下哪个不是挖宝的会出现的		
247	q246	1	玉如意	藏宝图	武林英雄贴	喊芝麻开门	何种道具能开启奇遇秘境？		
248	q247	1	1-59	10－69	1－79		多少级的玩家可以当徒弟？		
249	q248	1	达到59级	大于49级	只能60至90级的玩家		多少级的玩家可以当师父？		
250	q249	1	2个	1个	3个		一个人同时能拜几个师父？		
251	q250	1	菩提果	经验	传记点		以下哪个不是师徒的奖励		
252	q251	1	每天17：00和20：30	每天9：00和21：00	每天整点		灵果争夺的时间是以下哪项？		lingguo
253	q252	1	找菩提院弟子	找少林掌门	从少林寺进入		灵果争夺从哪里进入？		lingguo
254	q253	1	食用人参果不限次数	每天最多吃三个菩提果	一周最多食用一个人参果		以下哪个说法是不正确的		lingguo
255	q254	1	大于等于60级并且是认证或准认证玩家	大于等于60级并且是认证玩家	大于等于70级并且是认证玩家		商会任务领取条件是什么？		OpenLevel69
256	q255	1	一周一轮，一轮40次	一天10次	一天只能接一次		商会任务的规则哪个是正确的？		OpenLevel69
257	q256	1	人参果	绑银	水晶		以下哪个不是商会的奖励？		OpenLevel69
258	q257	1	大于等于60级	大于40级	大于50级		多少级可以秘境协助他人？		OpenLevel69
259	q258	1	秘境协助会浪费自己参加秘境的次数	秘境协助不会浪费自己参加秘境的次数	一个队伍里最多有2名高等级玩家同时协助。		以下哪个说法是不正确的		OpenLevel69
260	q259	1	60级玩家协助40级秘境	60级玩家协助20级秘境	80级玩家协助20级和40级秘境		以下哪个秘境协助规则不正确？		OpenLevel69
261	q260	1	每天0：30、10：30、20：00	每天12:00、19:30	每天下午		名器之争的活动时间是：		OpenLevel69
262	q261	1	名匠欧无缺	铁匠欧冶子	花无缺	洛兰柔	名器之争要寻找的NPC叫什么名字？		ShenMiRen
263	q262	1	立即获得怒气	增加活力	增加生命值		成功开启奇遇秘境里的机关龙柱有什么好处？		ShenMiRen
264	q263	1	大于等于20级	大于10级	多少级都能参加		参加奇遇秘境的等级是多少？		
265	q264	1	增加活力	经验	水晶	金钱	以下哪个不是奇遇秘境的好处？		
266	q265	3	3个	4个	5个	6个	55级武林高手一共有几个？		OpenBoss55
267	q266	1	在叶浩处接取任务	自动学会	找掌门学习	找沙羽飞学习	如何获得传功技能？		
268	q267	1	50级	60级	40级	70级	多少级可以对他人传功？		
269	q268	1	30级	25级	20级		最低多少级可以接受他人传功？		
270	q269	4	5级	6级	4级	3级	传功双方至少相差几级才能传功？		
271	q270	1	在门派进行传功	师徒之间传功	在双方家园传功		以下那种情况传功不能获得经验加成？		
272	q271	4	不获得经验奖励	认证用户每天能额外获得1次被传功次数	任何玩家每天只有1次传功次数	玩家每天有2次被传功次数	关于传功以下哪种说法是正确的？		
273	q272	1	绑金	大量经验	好友亲密度		传功不能获得何种奖励？		
